metric_id,concept_id,metric_name,metric_type,proxy_strength,proxy_risk,incentive_distortion_risk,qualitative_gap,validity_confidence
MR001,CC001,number_of_ideas_submitted,activity_count,0.38,0.79,0.74,0.69,0.36
MR002,CC001,ideas_advancing_to_validated_options,outcome_process,0.68,0.42,0.39,0.44,0.64
MR003,CC002,total_reach,output_count,0.34,0.82,0.70,0.76,0.31
MR004,CC002,durable_outcome_change,outcome,0.76,0.35,0.38,0.48,0.70
MR005,CC003,recovery_time,operational,0.61,0.47,0.42,0.52,0.58
MR006,CC003,vulnerability_reduction_index,systems_equity,0.72,0.40,0.36,0.45,0.67
MR007,CC004,task_completion_against_plan,compliance,0.48,0.68,0.65,0.55,0.44
MR008,CC004,cross-team_decision_coherence,coordination,0.70,0.39,0.34,0.41,0.66
MR009,CC005,tools_migrated,activity_count,0.32,0.85,0.79,0.71,0.29
MR010,CC005,operating_model_change_score,structural,0.72,0.41,0.43,0.46,0.65
MR011,CC006,carbon_reporting_completion,compliance,0.44,0.70,0.58,0.62,0.43
MR012,CC006,ecological_social_threshold_alignment,systems,0.74,0.38,0.36,0.44,0.69
MR013,CC007,satisfaction_score,survey_proxy,0.42,0.73,0.57,0.65,0.40
MR014,CC007,trust_repair_and_reliability_index,mixed_methods,0.70,0.39,0.35,0.41,0.66
MR015,CC008,cost_per_output,efficiency,0.69,0.49,0.62,0.54,0.61
MR016,CC008,system_cost_and_burden_adjusted_efficiency,systems,0.76,0.34,0.33,0.42,0.70
